ID,first name الإسم الأول,last name اللقب,job المهنة,birth date تاريخ الإزدياد
62750387,عبد الغفّار,كسّاب,Technical brewer,1916-06-23
07861376,فخر,أناهيد,Social worker,1924-12-11
65165287,زغلول,شعبان,Police officer,1999-02-02
65736128,ضيائي,ميثاق,Exhibition designer,1905-05-08
81790371,بيسان,اعتماد,Mental health nurse,1964-06-14
89184172,ليم,مرتقي,"Runner, broadcasting/film/video",1996-10-10
51517359,ريّان,غامد,Commercial horticulturist,2007-09-21
09917125,نجدت,هاشم,"Development worker, international aid",1931-12-08
99270988,آيات,سديم,Insurance risk surveyor,1939-09-29
62212724,سعود,خطيب,"Designer, furniture",2017-08-13
66179825,هيا,ذكي,"Surveyor, planning and development",1971-05-20
37506926,واصف,مرزوق,Video editor,1960-01-29
18300192,طائل,جميل,"Production designer, theatre/television/film",1990-10-19
72705735,سنام,هاجر,Marine scientist,1961-09-04
62902663,رباح,كبير,"Librarian, public",1998-09-02
25304923,نوال,نزيه,Holiday representative,1938-08-27
28400721,سفير,مناف,Public affairs consultant,2006-09-26
70322132,يعرب,ناصيف,"Research officer, political party",1927-05-20
85827301,راجي,أفراح,Data processing manager,1983-08-29
38486814,صائب,سخاء,Sport and exercise psychologist,1983-12-31
38183218,قصيد,حارث,"Surveyor, rural practice",1945-02-28
08888778,عبد الحفيظ,نور الدّين,"Radiographer, diagnostic",1932-11-01
71739076,زاكي,رهيف,Public relations account executive,1910-08-20
76425462,شكيب,شعيب,Associate Professor,1952-12-17
68532734,هايدي,فرج,Social worker,2014-09-16
62962162,نذير,كاظم,"Psychologist, forensic",1903-04-17
76209970,رمضان,تالا,Petroleum engineer,1945-07-08
33162386,رابح,وريد,Radiation protection practitioner,1955-09-26
04983859,شادي,جودي,Make,1971-11-09
51072407,منيف,ليم,Music tutor,1922-03-01
77106452,لطوف,نوح,Government social research officer,1978-06-02
76650741,باهرة,ريما,Fast food restaurant manager,1936-01-31
25747157,فرج,بيسان,Advice worker,1974-10-09
94651676,حسام,فتحي,Art gallery manager,1969-06-26
33040288,فاتح,ريفال,"Accountant, chartered public finance",1970-01-04
03826119,مازن,هيكل,"Psychologist, occupational",1986-01-17
82592943,وفائي,طائف,Tree surgeon,2007-04-14
44577568,مادلين,روبين,Naval architect,1984-02-12
95139364,مشفق,علي,Charity fundraiser,1930-10-26
99238087,صادق,نور الدّين,Early years teacher,1930-05-18
02830667,داوود,كتوم,Biomedical engineer,1961-06-06
04013822,ثائر,ياسر,Market researcher,1903-03-23
61466999,عمير,مُتولي,"Therapist, occupational",1947-03-10
03538739,نزار,لبيد,English as a foreign language teacher,1941-02-06
55048477,لطوف,ماذى,Geographical information systems officer,1944-11-05
12298495,زهدي,طبّاع,"Teacher, primary school",1926-02-14
21511899,عبد الرّحمن,بارعة,"Engineer, aeronautical",2009-12-16
43259472,مهنّد,بنفسج,Clinical research associate,1990-07-21
70166644,نزار,لفيف,"Engineer, automotive",1984-10-31
89027400,خاشعة,ميسون,Chief Technology Officer,1904-02-03
94136661,عبد الباري,مايا,Acupuncturist,1977-06-01
60802538,مازن,ميار,Set designer,1976-08-05
80074458,ريناد,عبد الخالق,Geographical information systems officer,1955-09-15
79530910,ليث,سجى,Hotel manager,2010-11-22
76327667,ظاهر,مرسال,Quality manager,1927-06-23
99004422,ترانيم,مُنير,Dentist,1999-12-06
02618098,صادح,عائد,Special educational needs teacher,1966-06-28
88173115,لبيب,عبد القدّوس,"Psychotherapist, dance movement",2004-09-16
24861250,جاسم,نوري,Product manager,1911-05-11
60683786,جمال الدّين,سلاف,Ranger/warden,1957-04-15
63617962,صافي,حنبل,Commissioning editor,1941-01-19
07683121,حيدر,سائد,Forensic scientist,1931-02-25
39856586,حسيب,لطفي,"Designer, interior/spatial",1983-11-19
88597409,عبد السّميع,رهيف,Visual merchandiser,1914-03-25
75656027,شاطر,جودي,Chief Marketing Officer,1909-02-07
44784300,موسى,نغم,Hydrogeologist,1977-08-22
02666310,ثروت,شامل,Product manager,1921-07-13
30800496,ميرا,مرشد,Psychiatric nurse,1995-12-17
28668749,ناجح,جهاد,Special effects artist,1940-05-26
10985045,سامر,رامح,English as a second language teacher,1913-02-19
97020646,سعدي,مسرور,Water quality scientist,1947-05-11
54084711,حسام,صبري,Tourist information centre manager,1955-04-10
96976456,محفوظ,عزّت,Interior and spatial designer,2017-09-05
84605375,فهمي,فهمي,"Journalist, magazine",1908-03-04
37480943,رائف,نوّاف,"Psychotherapist, child",1964-09-03
62362153,عبد الرّشيد,كنعان,"Programmer, systems",1992-09-06
71419572,حقّي,جرّاح,Water engineer,1930-01-22
36133093,فتحي,بلماء,Television floor manager,1948-06-03
51802738,مرادي,منيب,Toxicologist,1927-04-01
94241808,سالم,جلال الدّين,Forensic scientist,1947-09-06
45484865,صبري,عفيف,"Production assistant, radio",1987-09-03
93661560,ماجد,ذريع,Careers information officer,1905-03-03
56474503,ربى,ميسور,Warden/ranger,1909-05-23
36277544,ابتسام,حقّي,Architect,1916-08-02
27104552,جلال الدّين,بهابهاء,Barrister's clerk,1987-07-10
58205785,سرحان,وحيد,Broadcast journalist,1984-03-10
22576262,وليف,صباح,Market researcher,1963-09-14
60068439,عمر,نوّاف,Archivist,1918-01-13
66037927,نوّار,علوان,"Journalist, broadcasting",1991-02-19
11556732,اعتكاف,هلالي,Lobbyist,2005-06-15
12624546,كريم,يقين,Industrial/product designer,1911-05-24
18401288,ماذى,رفيق,Clothing/textile technologist,1943-05-26
46723901,زيد,بدرالدّجى,Health promotion specialist,1938-11-21
07592577,لفيف,حسني,IT trainer,1994-04-05
16587434,شامل,مُرسي,Commercial horticulturist,1926-09-18
26279756,كنعان,ابتهال,"Engineer, electrical",1931-02-16
17418058,رضي,أجوان,"Lecturer, higher education",1980-01-09
27442838,آلاء,عبد القهّار,"Education officer, museum",1978-10-03
37746186,فاروق,بشرى,Advertising account executive,1998-12-18
19277509,لاما,نورس,Financial trader,1979-01-13
27322475,نائل,عبد الحفيظ,Airline pilot,1958-01-11
71708614,نورالحقّ,سمير,Press photographer,2005-12-25
82295974,نيازي,يزيد,Hospital pharmacist,1909-01-29
41550908,وفائي,عبد الغني,Farm manager,2004-05-11
87562477,ماذى,رجاء,Fisheries officer,2012-11-15
20737658,ريفال,عبد الإله,Records manager,1987-01-20
81791033,حميد,صقر,"Surveyor, hydrographic",1959-06-13
28392460,وحيد,عبدالرّحمن,Health promotion specialist,2010-09-04
04200567,زغلول,دهمان,Industrial/product designer,1993-03-26
08393821,عتيق,ضياءالدّين,Armed forces logistics/support/administrative officer,1957-03-04
48797160,بدرالدّجى,سامح,Manufacturing systems engineer,1986-11-08
80724285,مالك,غزير,Amenity horticulturist,1950-08-18
83340017,حسني,سعدون,Occupational hygienist,1941-07-06
36552658,وفيق,وليف,Retail merchandiser,1916-04-07
40227795,يسري,صالح,"Horticulturist, amenity",1918-09-15
45680120,زهير,خلدون,Social researcher,1961-01-31
90101793,مظهر,شادي,"Engineer, civil (consulting)",1933-12-03
15049698,عماد,نوف,"Scientist, research (physical sciences)",1983-02-21
16539983,أزهار,جليل,Ecologist,1925-05-05
69040061,فضل,غالي,Insurance claims handler,2012-03-28
00067843,كنار,ألين,Warehouse manager,1910-05-05
31201056,معتوق,عبد الرّحمن,Insurance underwriter,1939-06-21
97837275,عتيق,ممتاز,Manufacturing engineer,2005-08-26
80392620,زكي,رائد,Academic librarian,1982-11-12
31776813,نافع,وصاف,"Journalist, broadcasting",1918-06-08
09261822,تحسين,عدوي,Civil Service fast streamer,1984-03-11
08689948,ريّان,مازن,Speech and language therapist,1906-01-09
79421867,اعتكاف,شامل,Personal assistant,1950-01-02
30399099,وسام,فلاح,"Librarian, academic",1915-11-06
97984474,إلينا,وديع,Financial trader,1944-11-29
99606251,رشيد,ريما,Television/film/video producer,1936-10-10
97843740,ناردين,نصري,"Engineer, land",2007-10-24
17864633,غالي,ضحى,Social worker,1975-08-25
50501793,مايا,تاج,"Scientist, research (life sciences)",1970-04-08
69938443,كريم,سهوان,Electronics engineer,1957-06-19
29082841,قطز,لوليا,Administrator,1951-10-29
82811044,صادح,ريان,Public librarian,1967-06-01
48994996,مخلص,لبيب,Hydrographic surveyor,1989-07-30
04292340,ناضر,رامح,Hydrogeologist,2013-06-28
48033879,عبد السّلام,قصي,"Engineer, biomedical",1988-09-27
04025580,عبد الجبّار,اصيل,Astronomer,1971-10-07
34603598,ملهم,ريمان,Corporate treasurer,1938-09-26
25949438,روعة,عتيد,Immunologist,1997-10-25
02560748,ميلاء,نعمان,Community arts worker,1968-10-27
87274349,رحيب,عرفات,Photographer,1965-04-23
51969301,اصيل,حسنين,Chiropodist,2001-07-15
99533243,بيسان,نديم,Retail buyer,1993-02-24
72308486,عبد الرّشيد,غالي,Customer service manager,1905-09-24
97515944,جلال,صعب,"Scientist, research (maths)",1989-08-13
15165442,منيف,محييالدّين,"Geologist, engineering",2017-06-18
03715345,ميسون,طلعت,Field trials officer,2008-03-25
22875709,عمير,عدلي,Interpreter,1915-03-15
29773732,خاشعة,سليم,Historic buildings inspector/conservation officer,1978-11-17
84422927,ميار,عبد الجبّار,"Engineer, manufacturing",1917-10-10
76502989,رشاد,خليفة,Building services engineer,1938-01-29
20392680,حازم,زهير,"Teacher, adult education",2013-03-18
74656257,مسعود,هيا,"Engineer, chemical",1949-07-24
03512838,منيع,طموح,"Scientist, water quality",2001-01-18
17884167,عبد الرّحمن,نادي,Ophthalmologist,2004-02-03
53034595,ساطع,كايد,Microbiologist,1995-05-07
74235605,همام,حكيم,TEFL teacher,1987-01-15
86505413,ريناد,حاتم,"Engineer, broadcasting (operations)",1962-12-08
49531589,فضل,راجح,"Production designer, theatre/television/film",1959-01-20
74917389,نزار,نعمان,Visual merchandiser,1935-05-30
47067974,نصر الدّين,زهرة,Ambulance person,1982-05-05
67221158,شكيب,جميل,Microbiologist,1948-09-20
77523730,إلينا,وريد,Health physicist,1994-09-13
57391458,إلينا,ضياءالدّين,Forensic psychologist,1911-12-07
20387822,بثينة,ربيع,Computer games developer,1923-01-01
84848611,سعود,مايا,"Geologist, engineering",1913-06-05
30527461,روبين,نوّاف,Curator,1922-12-12
86945394,ناهد,ثقيف,Education administrator,1966-02-24
10469118,ريفال,تميم,Dealer,1920-02-05
85012486,ناصر,اسماءبناتمختلفةومعانيها:,Fast food restaurant manager,2001-08-07
67831197,مشرق,تقيّ الدّين,"Designer, textile",1986-05-29
49729450,نشوان,معمّر,Press sub,2004-08-13
74460731,منسي,مرتقي,Social worker,1930-11-07
91331250,عبد الرّؤوف,سراج,Technical brewer,1999-09-18
07426698,بتول,زكريا,Archaeologist,1988-05-19
08330390,تالا,عاكف,Consulting civil engineer,1987-07-24
17067584,تامر,مرعي,"Engineer, civil (consulting)",1976-09-16
81248100,مهنّد,عدوي,Barrister's clerk,1970-05-29
75861025,فايد,دريد,"Psychologist, occupational",1996-12-07
54522190,خليفة,ربيع,Publishing copy,1912-03-06
16188198,ربيع,سموح,"Sound technician, broadcasting/film/video",1934-12-03
03725009,نائل,ريان,Geophysical data processor,1943-11-19
73414278,دارين,يعرب,Geographical information systems officer,1989-12-09
31662123,لورا,رائد,"Scientist, product/process development",1936-06-30
00457484,سعيد,رفيق,Insurance risk surveyor,1913-05-21
95924793,نجيب,وسيم,"Production assistant, radio",1908-04-30
78568372,فخري,ظاهر,Bonds trader,1986-12-19
30188174,كافور,روفيدا,Statistician,1935-07-13
04719397,يانع,بهية,Hydrologist,1991-03-16
27354131,ليث,كاشف,Location manager,1996-09-18
75138134,عدلي,عزيز,Tourism officer,1906-12-29
36311101,لوليا,مسعود,Medical technical officer,1964-05-10
35457411,مادلين,نشوان,Plant breeder/geneticist,1934-12-11
67617258,ربيع,زكية,Intelligence analyst,1949-03-31
99472856,سنان,قنوع,Radiation protection practitioner,1917-05-22
33253909,ضرغام,عالم,Retail merchandiser,1939-11-07
56067965,كامل,ريما,Equality and diversity officer,1934-07-08
81968817,نائل,مازن,Speech and language therapist,2018-05-07
12104703,بثينة,يسرى,Chartered certified accountant,1959-12-03
16696396,نافع,شادي,Aeronautical engineer,1937-12-11
14022760,سنام,زاخر,Comptroller,1994-05-14
36988228,ذيب,سيفالدّين,Microbiologist,1926-07-28
61720343,نعمان,مظهر,Sport and exercise psychologist,1919-08-23
83136115,جميلة,محييالدّين,"Designer, exhibition/display",1973-02-27
43267170,نيازي,وسام,Arboriculturist,1908-07-13
47223899,ابتهال,ضاحك,Personal assistant,1940-11-14
90089701,رابح,جعفر,"Research officer, government",1994-03-25
02199825,عرفان,يارا,Civil Service administrator,1971-09-18
62492447,صبور,أحمد,Chiropodist,1994-05-21
91914422,ديسم,نذير,"Research officer, political party",1906-03-28
42231875,نبيه,دريد,Waste management officer,1950-02-01
63241907,بلماء,موسى,"Therapist, art",1936-07-06
55416047,ميسور,شامل,"Scientist, research (maths)",1985-10-02
24303828,كريم,فراس,"Engineer, automotive",1948-03-28
89454961,نجيب,هيمان,"Teacher, primary school",1912-06-28
69659188,رباح,صقر,Archaeologist,1996-06-21
84848406,ضرغام,واصف,Research scientist (life sciences),1950-03-30
30942769,هدى,مُتعب,Fine artist,1951-01-08
00623018,ياسمين,مصباح,English as a second language teacher,1977-06-23
47056374,جودي,يسار,Art gallery manager,1937-07-04
65855775,هيثم,ضيائي,Psychiatric nurse,1987-09-09
38757884,لتين,وليف,Merchant navy officer,1949-01-24
50711024,رمضان,عبد الباقي,Management consultant,1940-07-24
33339337,فاتح,تاليا,Visual merchandiser,1923-08-01
12154777,آلاء,مَجدي,Commissioning editor,1923-02-28
28385868,فراس,ميرا,Personal assistant,1994-11-10
49146028,عرفه,ماجد,Animator,1908-09-06
83864049,عبد الجليل,لؤي,"Designer, exhibition/display",1966-10-17
01404814,تميم,مرشد,Acupuncturist,1932-04-07
17385046,مختار,سعود,"Designer, ceramics/pottery",1996-08-12
66371298,يزيد,فدائي,Administrator,1933-11-01
02079721,,جرير,Psychiatrist,1990-11-03
03723593,أحلام,واصف,Set designer,1963-02-20
25397949,روحي,صبحي,"Psychologist, sport and exercise",1977-02-11
22140005,ظهير,سهوان,Gaffer,1927-12-03
41522455,سلمان,مشاري,Higher education lecturer,1923-05-01
24499057,مُتولي,غازي,Social researcher,1945-06-19
72437728,ماجد,غالي,Equality and diversity officer,1918-05-11
12825929,ريناد,توفيق,"Engineer, electrical",1952-06-01
73793991,هيكل,خلف,Medical secretary,1919-08-02
82158439,عبد الغفّار,ريّان,Minerals surveyor,1957-02-18
71999807,فخري,طموح,Camera operator,1972-12-17
97305279,عالم,هيام,"Education officer, museum",1999-05-03
21204326,ضياء,ريمان,Environmental consultant,1972-09-23
85055810,لورا,خالد,Quality manager,1983-12-23
92854611,صلاح الدّين,ريان,Medical secretary,1921-12-13
50585472,دانة,نصري,"Editor, commissioning",1942-02-24
59914044,تمّام,خيري,"Therapist, nutritional",1927-07-13
09947269,هاجر,ساهد,Arts administrator,1904-04-30
31217880,دهمان,قصيد,Hydrogeologist,1917-02-08
83924309,شكيب,عبد العزيز,Clinical cytogeneticist,1935-03-10
73565161,ساهر,ثائر,Health promotion specialist,1906-02-10
48073233,راتب,زهدي,"Surveyor, insurance",1933-07-10
80038917,جدير,مريم,Television production assistant,1921-10-20
42589662,سليم,سمير,Publishing rights manager,1960-02-21
79958509,عابد,راضي,Commercial art gallery manager,1904-09-27
29804573,عبد الغفّار,ظاهر,Licensed conveyancer,1903-05-18
06862800,لقمان,سبأ,Charity officer,2012-05-14
95523750,سامي,مسعود,Research scientist (life sciences),1911-10-26
03223383,قنوع,مراد,Catering manager,1916-03-09
92277564,دارين,صبحي,Furniture conservator/restorer,1998-04-07
25432992,شكري,ريّان,Arboriculturist,1966-05-04
02148717,ذكي,يسري,Industrial buyer,1904-09-28
48729536,أفنان,مزهر,Firefighter,1929-02-01
86102674,ظريف,صبور,Clothing/textile technologist,2018-03-11
69987748,عدلي,صدر الدّين,"Administrator, education",1966-04-02
60672612,ميسور,بيسان,Recruitment consultant,1931-01-23
24086004,ريمان,صدّام,Print production planner,1974-02-12
30061446,عبد الحفيظ,خلوصي,Adult guidance worker,2005-02-25
68253776,ريتاج,دهمان,Advertising account planner,1940-09-04
71619538,يسار,ريمان,Tax adviser,1970-05-11
79913430,مقداد,مجاهد,Theatre manager,1987-07-02
72004463,لؤي,ضاحي,"Psychotherapist, dance movement",1955-02-18
91400390,ايمان,سبأ,Horticultural therapist,1946-05-07
34552919,أناهيد,مهيب,Exhibition designer,2014-04-10
94452006,أناهيد,حيدر,"Surveyor, commercial/residential",2013-04-01
71347875,اعتماد,عابد,Dispensing optician,1907-04-29
91898630,هزار,ترف,Risk analyst,1966-02-08
01818123,رؤوف,رازي,Higher education careers adviser,1950-12-02
58123256,ميلاء,حيّان,Health visitor,1958-09-07
48339346,راما,صدقي,Optometrist,2002-08-30
62155311,خاطر,عامر,"Engineer, land",1955-09-15
13717155,مأمون,دانية,Mudlogger,1954-07-19
33700137,دارين,حسين,Fashion designer,1994-07-24
44183769,لوليا,نشأت,"Clinical scientist, histocompatibility and immunogenetics",1974-05-03
91293794,شافع,طلعت,"Nurse, adult",1992-05-03
90133176,شادي,لطوف,Advertising copywriter,1908-04-30
14044281,فخر,ذكي,Air cabin crew,1972-10-25
23671683,نافع,رجب,"Psychologist, educational",1938-04-08
64266558,بشري,خاطر,Civil Service administrator,1943-09-19
34112687,مفيد,نوّار,"Surveyor, quantity",1962-03-26
92131330,وثّاب,جيلان,"Engineer, land",1962-05-23
93612753,ابتكار,فضل,Metallurgist,1957-04-14
04847816,صقر,عتريس,Diagnostic radiographer,1932-07-16
47481473,عتريس,جوريّة,Accommodation manager,2013-10-01
69274916,حمود,ثاقب,Claims inspector/assessor,2014-12-15
65755525,خالد,مفيد,Paramedic,1955-01-02
63470420,لقاء,عاقل,Archaeologist,1938-12-25
00583862,زاهر,هنادي,"Nurse, learning disability",1906-01-26
86442978,فايد,رامي,"Psychologist, occupational",1922-12-14
68367121,مطاوع,ديسم,"Geneticist, molecular",1942-07-03
89548585,فارس,وضّاح,Stage manager,1964-04-28
30919037,نصر,رازي,Television floor manager,1936-10-18
37357313,عادل,ضاحك,"Teacher, early years/pre",1944-02-28
02845333,شوقي,افتكار,Gaffer,1981-11-14
91031716,منيب,جهراء,Higher education careers adviser,2010-02-01
48626422,ليساء,رجاء,Consulting civil engineer,1966-06-16
48487443,دانية,عصمت,Technical brewer,1946-01-30
09241251,نائل,مرادي,"Teacher, primary school",1912-01-09
89308318,معن,ممتاز,Analytical chemist,1960-07-21
06054946,ساجي,مهيب,Chief Marketing Officer,1928-04-25
73671589,رافع,رشدي,"Pilot, airline",1946-08-01
29230716,ميرا,حمدي,Restaurant manager,2010-02-08
92315549,طريف,طبّاع,Teaching laboratory technician,1999-04-26
69118364,مهيب,جمان,Best boy,1936-11-23
26545691,آيات,ممتاز,Museum/gallery exhibitions officer,1995-09-18
57930343,ممتاز,مَسعد,Politician's assistant,1984-11-11
30144378,عدنان,كريم,"Librarian, public",1912-02-14
55266086,ناردين,فطين,"Development worker, community",1958-01-07
99230326,مشفق,جدير,IT sales professional,2016-10-20
03296608,لوليا,لقمان,Minerals surveyor,1972-01-02
31073363,مطاوع,ناجح,Public relations account executive,1981-07-14
79590181,ناصيف,مُصلح,Metallurgist,1993-09-02
60176103,رامي,حياة,Quality manager,1942-03-31
67084753,جيلان,شاطر,Equality and diversity officer,1927-04-01
23632929,عبد الحفيظ,علاء,Radio producer,2015-09-18
07416422,بشرى,ثروت,"Teacher, adult education",1938-04-15
71281421,سراج,محمود,Dancer,1906-07-07
82899363,طائف,عبد الواحد,"Copywriter, advertising",1982-12-18
80470076,داني,فارع,Set designer,2001-12-02
58678848,هيام,مراد,Minerals surveyor,2017-01-28
12822706,مجد,يسري,Insurance broker,1904-11-29
03321560,صادق,مؤنس,Occupational psychologist,1992-11-13
01189452,واصل,لارا,Recycling officer,1960-04-25
32129373,ثابت,زكي,"Surveyor, mining",2008-07-24
21821653,علاء,مُتيّم,Occupational hygienist,1955-06-22
29669424,محييالدّين,رشدي,Sports therapist,1999-07-24
37729875,راسم,جالا,Learning mentor,1913-08-08
80843610,غالي,صادق,Retail banker,1959-09-24
44279769,قصي,حافظ,Ranger/warden,1910-11-09
83111808,فائق,زاهي,"Doctor, general practice",1962-04-23
11756200,آيات,جميل,Cabin crew,1935-11-30
60522917,نضال,حارث,Trade union research officer,1919-03-14
72400159,قاسم,عبد السّلام,Agricultural engineer,1979-03-24
26168180,ريتال,رشيد,Air cabin crew,2007-07-28
77149732,داوود,غالي,Information officer,1960-03-05
53312372,كليم,مشاري,Higher education lecturer,2016-12-01
24228701,حلا,مُناضل,Manufacturing engineer,2016-09-13
89174630,مرسال,صادق,Private music teacher,1961-10-28
84296986,عماد,تميم,Retail buyer,1936-02-15
36451821,وصاف,سلسبيل,Environmental education officer,1983-10-03
02432076,نذير,شعيب,Arts administrator,1926-01-16
78161009,مدحت,ضياء,Sports administrator,1950-10-16
89466001,عبد الغفّار,ابتهال,Textile designer,1923-10-15
22437624,يسرى,رحيب,"Geneticist, molecular",1946-10-03
06700607,ترف,طالب,"Surveyor, planning and development",1997-04-08
11271659,جميلة,أحمد,"Conservation officer, historic buildings",1942-05-09
68904876,ضاحك,نذير,Hospital doctor,1908-11-17
38707346,عبد القهّار,رامي,"Teacher, special educational needs",1987-09-08
40602271,حازم,محييالدّين,Estate manager/land agent,1960-06-30
56769791,وادع,أفراح,IT sales professional,1908-11-20
08037206,ريناد,نبراس,International aid/development worker,1988-06-15
28224112,عمّار,بلماء,Psychotherapist,1903-08-03
45596520,نضال,زكي,"Scientist, water quality",1921-10-01
98248612,زياد,حارث,Personnel officer,1959-09-27
62380560,نزيه,حبّاب,Landscape architect,1948-08-23
57625973,نوح,يقين,Location manager,1911-08-05
79610797,ايمان,جوين,"Engineer, water",1957-12-03
26188607,أسيل,ريان,Contracting civil engineer,1923-10-27
17785167,عالية,ماجد,Catering manager,1925-01-19
11533863,قطز,وثّاب,"Designer, blown glass/stained glass",1917-07-20
27450666,خلوصي,جعفر,Chartered legal executive (England and Wales),2018-02-12
01856132,محييالدّين,حسني,Chiropractor,2001-08-29
24341998,رمضان,عبد الحيّ,"Education officer, museum",2011-01-08
22559999,قصيد,راوي,"Nurse, children's",1963-03-24
80396291,عاصم,عرفه,Land/geomatics surveyor,1906-10-02
32771459,لارا,هيكل,Equities trader,1935-04-08
06005269,مُرسي,خلدون,Risk manager,2012-03-29
07714658,نبراس,زايد,Commercial art gallery manager,2014-03-13
48129145,عبد الرّزاق,ساهد,Illustrator,1911-08-11
19571577,ريمان,عبدالله,Corporate investment banker,1914-02-14
02286150,ديسم,حمّاد,Broadcast journalist,1997-09-24
81112449,صابر,لينا,Amenity horticulturist,1981-07-21
66925521,محمّد,نافع,"Engineer, aeronautical",1976-04-24
41096512,عبد المحيي,فائق,Armed forces training and education officer,1997-04-28
84662033,ماهر,رشاد,Adult nurse,1960-12-14
60618269,شبلي,مؤيّد,"Scientist, forensic",1989-01-27
84658555,سيّد,عتيق,Advertising art director,1947-11-24
52330742,علم الدّين,كرم,Fast food restaurant manager,1983-09-13
29893614,بهابهاء,مُتولي,Print production planner,2007-10-18
37193911,تاج,ريما,Solicitor,1958-08-01
56948639,صنديد,رائد,Toxicologist,1997-05-13
55678148,عبّاس,مَسعد,Geophysicist/field seismologist,2011-12-01
48654012,نزار,نادر,Mudlogger,1925-03-19
98476886,عبد اللطيف,مَجدي,Agricultural consultant,1995-09-01
18895742,كليم,خميس,Clinical cytogeneticist,2012-03-31
80282952,قاسم,سديم,"Administrator, sports",2012-07-06
33874548,عبد العليم,مسرور,"Scientist, forensic",1987-11-11
76633973,ميثاق,صارم,Medical secretary,1955-08-08
11624783,شدّاد,ظهير,Neurosurgeon,1993-02-14
21268786,مقداد,شفيع,"Surveyor, insurance",1948-04-27
72632697,عمرو,فخر,Tree surgeon,1968-12-25
49796230,اصيل,غزير,Technical brewer,2014-07-01
72909300,موفّق,آيات,"Editor, film/video",1992-03-05
52290435,عذب,ترانيم,"Teacher, primary school",1937-04-04
74978366,واصل,بهية,Research scientist (physical sciences),1949-02-24
76627927,تقي,محفوظ,Data scientist,1917-05-11
93277846,نافع,قائد,Academic librarian,2005-11-07
84593306,مُتعب,مأمون,"Engineer, site",1969-07-16
61128361,عبد الجليل,محمّد,"Pharmacist, hospital",1916-09-09
53357670,لقمان,يقين,Forensic psychologist,2015-04-09
09934979,فخر الدّين,ضياء,"Editor, film/video",1971-09-05
99425425,عزيز,مازن,"Therapist, speech and language",1998-09-11
70837308,مازن,شعيب,Television/film/video producer,1922-02-16
67217106,راوي,مشاري,Computer games developer,1907-05-11
68215699,غالي,فداء,Broadcast engineer,1931-12-25
82930226,زهران,نشوة,Telecommunications researcher,1927-09-12
22154156,كنار,فرحان,Video editor,2014-11-20
05380138,عفيف,هيمان,"Scientist, research (maths)",1944-06-27
53507945,فرات,غزوان,"Administrator, charities/voluntary organisations",1969-03-12
93132749,زهدي,رامز,Retail banker,1923-11-05
57755519,رائد,كتوم,"Therapist, drama",1938-04-05
41907511,رمزي,ألين,"Surveyor, quantity",1973-03-27
86376679,عبد الحكيم,ريم,Radio producer,1995-02-10
85818941,صادق,جلاء,Banker,2014-07-04
70514520,ليم,ثقيف,Orthoptist,1920-03-17
61619135,نادي,جيلان,"Doctor, general practice",1908-07-10
40160917,فرات,نبيه,Jewellery designer,1959-02-07
78188952,سعدي,صائب,Musician,1956-04-23
56878554,نور,فرزدق,Arboriculturist,1973-03-22
02306346,عطاء,مُنير,"Programmer, systems",1915-09-16
